,gp,min,fga,fg,3pa,3p,fta,ft,oreb,dreb,target_5yrs,pts_per_min,ast_per_min,reb_per_min,blk_per_min,stl_per_min,tov_per_min
11,40,6.7,3.0,39.8,0.6,13.6,1.5,77.6,0.5,0.8,1,0.5373134328358209,0.05970149253731343,0.1791044776119403,0.014925373134328358,0.04477611940298507,0.08955223880597014
12,27,6.6,1.3,47.2,0.0,0.0,0.3,28.6,0.6,1.4,1,0.196969696969697,0.030303030303030307,0.30303030303030304,0.09090909090909091,0.030303030303030307,0.045454545454545456
13,45,15.3,6.0,32.3,3.6,30.1,0.8,86.1,0.5,1.6,0,0.3660130718954248,0.032679738562091505,0.13071895424836602,0.0196078431372549,0.032679738562091505,0.032679738562091505
14,44,6.4,1.9,53.7,0.0,0.0,0.7,50.0,0.4,1.0,1,0.37499999999999994,0.03125,0.21874999999999997,0.0625,0.03125,0.09374999999999999
15,40,6.1,1.8,51.4,0.4,14.3,1.0,68.4,0.1,0.3,1,0.42622950819672134,0.22950819672131148,0.06557377049180328,0.0,0.04918032786885246,0.13114754098360656
16,49,5.3,1.9,37.6,0.0,0.0,1.1,64.2,0.5,0.7,0,0.39622641509433965,0.03773584905660378,0.22641509433962265,0.03773584905660378,0.05660377358490566,0.09433962264150944
17,41,4.2,1.6,34.8,0.3,21.4,0.6,73.1,0.1,0.2,0,0.4047619047619047,0.23809523809523808,0.07142857142857142,0.0,0.07142857142857142,0.09523809523809523
18,82,37.2,15.3,49.0,0.3,22.7,5.0,82.9,3.9,7.0,0,0.5161290322580645,0.0967741935483871,0.29569892473118276,0.016129032258064516,0.026881720430107524,0.0510752688172043
19,82,37.2,15.3,49.0,0.3,22.7,5.0,82.9,3.9,7.0,1,0.5161290322580645,0.0967741935483871,0.29569892473118276,0.016129032258064516,0.026881720430107524,0.0510752688172043
20,80,31.4,11.1,52.5,0.1,11.1,3.9,65.4,3.0,5.0,1,0.45541401273885357,0.07643312101910828,0.25477707006369427,0.025477707006369428,0.03503184713375797,0.07006369426751594
21,82,30.5,11.0,48.9,0.1,16.7,3.9,66.6,2.3,2.8,1,0.4360655737704918,0.08196721311475409,0.16721311475409834,0.009836065573770491,0.04918032786885246,0.07213114754098361
22,76,30.3,11.7,37.5,0.4,13.3,2.4,73.0,1.1,1.8,1,0.3498349834983498,0.07260726072607261,0.0957095709570957,0.006600660066006601,0.066006600660066,0.066006600660066
23,61,29.6,10.7,45.4,2.0,32.0,2.1,74.8,1.3,1.8,0,0.4054054054054054,0.15540540540540537,0.10472972972972973,0.010135135135135134,0.03378378378378378,0.08445945945945946
24,32,15.2,5.2,53.3,0.1,0.0,1.3,62.5,1.7,3.5,0,0.4144736842105263,0.026315789473684213,0.34210526315789475,0.03289473684210526,0.03289473684210526,0.06578947368421052
25,76,29.3,7.8,51.4,0.0,0.0,3.1,80.7,2.4,3.5,1,0.35494880546075086,0.05460750853242321,0.20136518771331058,0.020477815699658702,0.02389078498293515,0.051194539249146756
26,52,24.6,6.8,45.1,2.6,43.4,2.5,83.6,0.5,1.4,0,0.3780487804878049,0.15040650406504064,0.07723577235772357,0.0,0.024390243902439022,0.07317073170731707
27,76,22.5,9.2,41.5,0.1,0.0,1.6,73.6,1.7,3.4,1,0.39111111111111113,0.07555555555555556,0.22666666666666666,0.022222222222222223,0.035555555555555556,0.05777777777777778
28,78,22.0,8.7,44.7,1.8,39.0,2.2,74.1,0.9,2.0,0,0.45909090909090905,0.1,0.13636363636363635,0.013636363636363636,0.05454545454545454,0.05454545454545454
29,51,20.7,6.4,49.7,0.0,0.0,2.9,66.7,2.3,3.1,1,0.4057971014492754,0.03864734299516909,0.26086956521739135,0.024154589371980676,0.024154589371980676,0.07246376811594203
30,64,20.3,4.4,55.2,0.0,0.0,2.4,57.2,2.5,3.9,1,0.3054187192118227,0.02463054187192118,0.31527093596059114,0.059113300492610835,0.019704433497536946,0.03940886699507389
31,55,20.3,8.1,52.9,0.0,0.0,3.6,51.5,2.1,4.1,1,0.5123152709359606,0.034482758620689655,0.3004926108374384,0.07389162561576354,0.019704433497536946,0.06896551724137931
32,82,19.6,7.3,41.9,0.3,4.3,1.5,80.6,0.6,1.4,1,0.37755102040816324,0.19897959183673466,0.1020408163265306,0.01530612244897959,0.0510204081632653,0.086734693877551
33,48,18.9,6.8,52.8,0.0,0.0,3.0,66.9,2.4,3.3,1,0.4814814814814815,0.037037037037037035,0.3015873015873016,0.05820105820105821,0.04232804232804233,0.09523809523809525
34,34,13.4,5.0,30.2,1.9,18.5,1.0,91.2,0.1,1.3,0,0.3208955223880597,0.23134328358208955,0.1044776119402985,0.014925373134328358,0.04477611940298507,0.07462686567164178
35,42,18.6,7.7,40.0,2.0,35.7,1.9,83.3,0.7,1.2,1,0.45698924731182794,0.05913978494623656,0.1075268817204301,0.005376344086021505,0.04301075268817204,0.05913978494623656
36,82,18.4,5.3,37.0,0.7,14.5,1.9,74.1,0.4,1.3,1,0.2989130434782609,0.20652173913043478,0.0923913043478261,0.005434782608695653,0.03804347826086957,0.06521739130434782
37,64,17.0,7.5,39.0,0.2,23.1,1.5,74.5,0.6,1.4,1,0.4117647058823529,0.18823529411764706,0.11764705882352941,0.0058823529411764705,0.06470588235294118,0.08823529411764706
38,80,16.9,5.7,52.9,0.0,0.0,1.9,69.1,1.3,2.9,1,0.43786982248520717,0.02366863905325444,0.24852071005917162,0.04733727810650888,0.03550295857988166,0.06508875739644972
39,77,15.1,4.9,46.7,0.2,21.4,1.3,81.0,1.4,2.5,1,0.3708609271523179,0.026490066225165566,0.25165562913907286,0.039735099337748346,0.019867549668874173,0.05960264900662252
40,55,14.9,4.1,41.7,0.1,37.5,0.8,76.1,0.5,1.0,0,0.2751677852348993,0.10067114093959731,0.10067114093959731,0.013422818791946308,0.046979865771812075,0.053691275167785234
41,48,14.8,5.1,40.7,0.4,9.5,1.2,80.4,0.6,1.1,0,0.34459459459459457,0.14189189189189189,0.11486486486486486,0.0,0.06081081081081081,0.08783783783783784
42,51,14.5,3.8,39.9,0.7,27.0,2.0,87.5,0.4,1.2,0,0.3448275862068966,0.19310344827586207,0.10344827586206896,0.0,0.06206896551724138,0.09655172413793103
43,51,13.2,4.1,40.2,0.6,36.7,0.5,76.9,0.6,1.5,0,0.29545454545454547,0.060606060606060615,0.15909090909090912,0.015151515151515154,0.022727272727272728,0.05303030303030303
44,72,12.4,3.8,42.3,0.1,0.0,1.8,80.3,0.4,0.9,1,0.3709677419354838,0.15322580645161288,0.10483870967741936,0.008064516129032258,0.04838709677419355,0.10483870967741936
45,69,11.8,3.6,45.2,0.0,100.0,0.4,82.1,1.1,1.6,1,0.30508474576271183,0.05084745762711864,0.2288135593220339,0.02542372881355932,0.0423728813559322,0.05084745762711864
46,54,11.3,3.8,56.8,0.1,0.0,2.0,66.1,1.4,2.0,1,0.504424778761062,0.026548672566371678,0.30088495575221236,0.06194690265486725,0.053097345132743355,0.07079646017699115
47,24,10.6,4.1,30.3,1.7,36.6,1.5,66.7,0.1,0.5,0,0.38679245283018865,0.14150943396226415,0.0660377358490566,0.009433962264150945,0.0660377358490566,0.12264150943396228
48,50,9.6,3.7,41.5,0.5,19.2,1.2,75.4,0.4,0.7,1,0.4270833333333333,0.1875,0.11458333333333334,0.010416666666666668,0.0625,0.10416666666666667
49,56,9.6,3.0,45.6,0.1,0.0,1.0,65.5,0.5,0.8,1,0.3541666666666667,0.11458333333333334,0.125,0.020833333333333336,0.0625,0.08333333333333334
50,67,9.0,3.6,38.8,1.3,29.2,0.7,75.6,0.1,0.6,0,0.41111111111111115,0.15555555555555556,0.07777777777777778,0.011111111111111112,0.044444444444444446,0.1111111111111111
51,50,8.7,2.6,38.0,0.1,14.3,0.8,65.9,0.3,0.5,1,0.2873563218390805,0.18390804597701152,0.09195402298850576,0.01149425287356322,0.08045977011494253,0.1149425287356322
52,45,8.5,2.2,47.5,0.0,0.0,0.7,75.0,0.7,0.8,1,0.31764705882352945,0.03529411764705882,0.17647058823529413,0.023529411764705882,0.023529411764705882,0.07058823529411765
53,38,8.2,3.8,36.8,0.7,22.2,0.6,82.6,0.3,0.6,0,0.41463414634146345,0.08536585365853659,0.10975609756097562,0.012195121951219514,0.03658536585365854,0.07317073170731708
54,42,8.2,2.3,43.9,0.0,0.0,1.4,52.5,0.9,1.0,0,0.34146341463414637,0.03658536585365854,0.23170731707317074,0.012195121951219514,0.012195121951219514,0.09756097560975611
55,54,8.2,2.8,45.6,0.3,18.8,0.8,74.4,0.7,0.6,0,0.39024390243902446,0.07317073170731708,0.1585365853658537,0.012195121951219514,0.02439024390243903,0.06097560975609757
56,35,7.3,4.5,39.2,0.3,20.0,0.8,53.6,0.6,0.6,0,0.547945205479452,0.0821917808219178,0.1643835616438356,0.027397260273972605,0.05479452054794521,0.10958904109589042
57,37,7.3,2.6,44.3,0.3,18.2,0.6,81.0,0.4,0.7,0,0.3835616438356164,0.0410958904109589,0.15068493150684933,0.013698630136986302,0.027397260273972605,0.0684931506849315
58,46,6.7,2.5,43.1,0.8,27.0,0.4,52.6,0.4,0.4,0,0.3880597014925373,0.07462686567164178,0.11940298507462686,0.0,0.029850746268656716,0.04477611940298507
59,51,6.4,2.2,38.4,0.6,43.3,0.4,83.3,0.3,0.5,0,0.34375,0.04687499999999999,0.125,0.0,0.015625,0.04687499999999999
60,40,5.3,1.8,38.0,0.0,0.0,1.1,75.6,0.5,0.7,0,0.4150943396226416,0.05660377358490566,0.22641509433962265,0.01886792452830189,0.01886792452830189,0.09433962264150944
61,19,4.8,1.9,37.8,0.1,0.0,0.4,37.5,0.6,0.4,0,0.33333333333333337,0.08333333333333334,0.20833333333333334,0.04166666666666667,0.0625,0.0625
62,36,4.3,1.4,35.3,0.5,11.8,0.4,66.7,0.2,0.4,0,0.3023255813953489,0.13953488372093023,0.13953488372093023,0.0,0.023255813953488375,0.11627906976744186
63,79,37.7,16.5,42.2,0.1,27.3,5.5,73.6,2.4,6.4,1,0.47745358090185674,0.10610079575596816,0.23342175066312998,0.029177718832891247,0.03713527851458885,0.07692307692307691
64,55,13.1,3.9,30.4,1.9,20.4,0.9,74.5,0.4,0.8,0,0.2595419847328244,0.03816793893129771,0.0916030534351145,0.0076335877862595426,0.05343511450381679,0.05343511450381679
65,74,35.2,14.9,46.7,0.5,34.2,6.0,73.1,3.6,6.6,1,0.5227272727272726,0.0625,0.29261363636363635,0.03693181818181818,0.028409090909090908,0.08238636363636363
66,64,33.5,11.3,40.6,3.1,36.5,5.2,77.0,0.8,1.9,0,0.42686567164179107,0.11940298507462686,0.0835820895522388,0.005970149253731343,0.03880597014925373,0.07462686567164178
67,82,28.5,14.4,42.5,4.1,37.4,2.5,75.0,0.8,2.1,1,0.5508771929824561,0.056140350877192984,0.10175438596491228,0.010526315789473684,0.028070175438596492,0.056140350877192984
68,82,27.4,7.0,45.0,0.2,7.7,1.2,71.1,1.3,1.6,1,0.26277372262773724,0.23357664233576644,0.10948905109489052,0.007299270072992701,0.07299270072992702,0.08029197080291972
69,81,25.9,4.7,51.2,0.0,0.0,3.1,72.2,3.4,4.6,1,0.27413127413127414,0.011583011583011582,0.3050193050193051,0.05791505791505792,0.023166023166023165,0.03474903474903475
70,76,25.4,10.2,44.1,0.4,13.3,3.9,78.2,1.5,2.0,1,0.4724409448818898,0.05511811023622047,0.13385826771653545,0.011811023622047244,0.03543307086614173,0.07480314960629922
71,82,23.7,7.5,46.4,0.4,20.6,1.9,87.3,0.5,1.7,0,0.36708860759493667,0.17721518987341772,0.09282700421940929,0.008438818565400845,0.04219409282700422,0.07172995780590717
72,82,23.7,7.5,46.4,0.4,20.6,1.9,87.3,0.5,1.7,1,0.36708860759493667,0.17721518987341772,0.09282700421940929,0.008438818565400845,0.04219409282700422,0.07172995780590717
73,49,9.2,2.0,32.7,0.6,21.4,0.8,64.9,0.2,0.7,0,0.20652173913043478,0.1847826086956522,0.08695652173913045,0.010869565217391306,0.05434782608695653,0.06521739130434782
74,49,9.2,2.0,32.7,0.6,21.4,0.8,64.9,0.2,0.7,1,0.20652173913043478,0.1847826086956522,0.08695652173913045,0.010869565217391306,0.05434782608695653,0.06521739130434782
75,82,23.7,10.2,45.0,0.2,14.3,2.2,83.5,1.3,1.9,1,0.4641350210970464,0.15611814345991562,0.13502109704641352,0.02109704641350211,0.05485232067510549,0.08438818565400844
76,76,22.6,5.4,50.8,0.0,0.0,2.2,63.6,1.9,3.3,1,0.3053097345132743,0.03982300884955752,0.22566371681415925,0.08407079646017698,0.026548672566371678,0.05752212389380531
77,67,22.5,15.1,41.3,1.5,24.0,1.5,85.7,0.5,1.3,1,0.6266666666666667,0.13777777777777778,0.08,0.0044444444444444444,0.035555555555555556,0.07111111111111111
78,70,20.6,8.2,43.9,0.4,9.7,2.2,70.7,0.9,1.2,0,0.4271844660194175,0.12135922330097086,0.10194174757281553,0.009708737864077669,0.019417475728155338,0.07766990291262135
79,81,20.5,7.9,42.8,1.0,29.9,1.9,81.6,1.2,2.3,1,0.4195121951219512,0.0878048780487805,0.17073170731707318,0.014634146341463414,0.024390243902439025,0.07317073170731707
80,33,19.5,4.8,49.7,0.3,40.0,2.7,84.3,1.4,1.9,1,0.36923076923076925,0.07179487179487179,0.1692307692307692,0.015384615384615384,0.030769230769230767,0.046153846153846156
81,58,19.3,4.9,41.7,0.1,0.0,2.2,55.0,2.3,3.3,0,0.27461139896373055,0.02072538860103627,0.29015544041450775,0.06217616580310881,0.031088082901554404,0.046632124352331605
82,70,16.9,7.2,41.9,0.3,25.0,1.3,79.6,0.5,1.1,0,0.42603550295857995,0.07692307692307693,0.10059171597633136,0.00591715976331361,0.01775147928994083,0.0591715976331361
83,82,16.5,4.8,41.2,0.4,17.6,1.2,74.7,0.7,1.2,1,0.296969696969697,0.16969696969696968,0.11515151515151514,0.006060606060606061,0.048484848484848485,0.07272727272727272
84,62,16.2,6.7,38.0,1.0,29.2,1.9,77.3,0.7,1.2,0,0.425925925925926,0.07407407407407407,0.11728395061728394,0.00617283950617284,0.0308641975308642,0.07407407407407407
85,78,16.1,6.0,42.5,0.1,0.0,1.7,67.2,1.5,2.8,0,0.3850931677018633,0.024844720496894408,0.26708074534161486,0.018633540372670804,0.012422360248447204,0.08695652173913042
86,73,16.1,4.9,48.7,0.0,0.0,1.0,66.2,1.7,3.1,1,0.3416149068322981,0.03105590062111801,0.29813664596273287,0.018633540372670804,0.018633540372670804,0.04347826086956521
87,74,16.1,4.0,49.2,0.0,0.0,2.1,63.2,2.1,3.1,1,0.3291925465838509,0.018633540372670804,0.32298136645962733,0.024844720496894408,0.03105590062111801,0.06211180124223602
88,76,15.4,6.8,42.1,0.8,29.8,1.2,63.0,1.5,1.4,0,0.43506493506493504,0.05194805194805195,0.1883116883116883,0.01948051948051948,0.03896103896103896,0.05844155844155844
89,55,14.9,5.2,46.5,0.1,0.0,1.2,71.2,1.5,2.7,1,0.3825503355704698,0.040268456375838924,0.28187919463087246,0.03355704697986577,0.040268456375838924,0.053691275167785234
90,47,14.3,5.1,44.6,0.2,18.2,1.7,58.8,0.4,1.1,0,0.39160839160839156,0.19580419580419578,0.1048951048951049,0.013986013986013986,0.048951048951048945,0.11188811188811189
91,37,13.6,6.9,44.1,1.6,40.0,1.9,72.2,0.7,1.4,1,0.5955882352941176,0.0661764705882353,0.15441176470588236,0.007352941176470589,0.029411764705882356,0.07352941176470588
92,62,13.3,3.7,46.5,0.0,0.0,1.4,64.4,0.8,1.9,0,0.3233082706766917,0.045112781954887216,0.20300751879699247,0.015037593984962405,0.015037593984962405,0.07518796992481203
93,62,12.5,3.7,38.4,0.5,16.1,1.2,80.5,0.3,0.8,0,0.312,0.10400000000000001,0.08,0.008,0.04,0.07200000000000001
94,51,11.9,6.7,43.8,0.3,11.8,1.5,68.4,1.1,0.9,0,0.5798319327731093,0.06722689075630252,0.1680672268907563,0.01680672268907563,0.050420168067226885,0.06722689075630252
95,36,11.8,4.2,41.3,0.0,0.0,0.8,55.6,0.8,0.6,1,0.33050847457627114,0.0847457627118644,0.11864406779661016,0.0,0.03389830508474576,0.06779661016949153
96,74,11.6,3.1,41.6,0.1,25.0,0.9,65.2,0.8,1.1,1,0.26724137931034486,0.06034482758620689,0.16379310344827586,0.017241379310344827,0.04310344827586207,0.02586206896551724
97,63,11.6,6.7,48.7,0.1,16.7,2.6,66.3,1.2,1.2,1,0.7068965517241379,0.05172413793103448,0.20689655172413793,0.008620689655172414,0.02586206896551724,0.09482758620689656
98,33,10.8,2.7,34.8,0.3,27.3,0.4,64.3,0.2,2.0,0,0.20370370370370372,0.07407407407407407,0.20370370370370372,0.018518518518518517,0.046296296296296294,0.027777777777777776
99,54,11.2,3.9,46.0,0.1,0.0,1.1,68.9,1.0,1.8,1,0.3928571428571429,0.0625,0.25,0.03571428571428572,0.01785714285714286,0.07142857142857144
100,73,11.0,3.7,40.8,0.2,27.8,1.0,73.2,0.2,0.8,0,0.34545454545454546,0.10909090909090909,0.1,0.009090909090909092,0.045454545454545456,0.06363636363636363
101,15,10.9,3.1,40.4,0.1,0.0,1.6,66.7,0.8,2.2,0,0.3302752293577982,0.01834862385321101,0.27522935779816515,0.027522935779816512,0.027522935779816512,0.06422018348623852
102,64,10.9,3.4,44.1,0.1,0.0,0.9,70.2,0.4,0.7,1,0.3394495412844037,0.1926605504587156,0.10091743119266056,0.01834862385321101,0.03669724770642202,0.10091743119266056
103,56,10.6,3.4,41.5,0.0,0.0,0.7,80.0,0.3,0.5,0,0.32075471698113206,0.1792452830188679,0.07547169811320756,0.009433962264150945,0.04716981132075472,0.07547169811320756
104,64,10.6,3.0,39.1,0.0,0.0,1.2,69.6,0.4,0.8,0,0.30188679245283023,0.09433962264150944,0.11320754716981132,0.009433962264150945,0.02830188679245283,0.07547169811320756
105,68,10.1,2.8,41.8,0.8,33.3,0.6,90.5,0.2,0.5,1,0.3069306930693069,0.18811881188118812,0.07920792079207921,0.0,0.04950495049504951,0.0594059405940594
106,47,10.0,2.6,40.3,0.7,37.5,0.7,75.8,0.7,0.7,0,0.29,0.06999999999999999,0.13999999999999999,0.0,0.03,0.05
107,52,9.8,3.1,44.7,0.0,50.0,1.1,66.1,0.8,1.3,1,0.3571428571428571,0.03061224489795918,0.21428571428571427,0.01020408163265306,0.02040816326530612,0.08163265306122448
108,64,9.5,3.8,40.0,0.3,40.0,0.7,77.8,0.5,0.5,0,0.38947368421052636,0.042105263157894736,0.10526315789473684,0.021052631578947368,0.031578947368421054,0.05263157894736842
109,34,10.8,3.5,36.7,0.0,0.0,0.8,44.4,0.8,1.1,0,0.2685185185185185,0.046296296296296294,0.1759259259259259,0.009259259259259259,0.009259259259259259,0.06481481481481481
110,42,9.5,3.7,43.9,0.0,0.0,1.0,55.0,0.7,2.2,1,0.39999999999999997,0.042105263157894736,0.30526315789473685,0.07368421052631578,0.010526315789473684,0.08421052631578947
111,50,9.3,4.2,45.8,0.4,15.8,0.7,84.8,0.4,0.9,1,0.48387096774193544,0.07526881720430106,0.13978494623655913,0.0,0.02150537634408602,0.1075268817204301
112,52,7.3,2.4,45.5,0.0,0.0,0.9,65.3,0.8,1.1,1,0.3835616438356164,0.027397260273972605,0.24657534246575344,0.0958904109589041,0.027397260273972605,0.0410958904109589
113,75,7.0,2.4,52.0,0.0,0.0,0.7,68.0,0.7,1.0,0,0.41428571428571426,0.05714285714285715,0.24285714285714285,0.05714285714285715,0.014285714285714287,0.08571428571428572
114,39,6.8,2.1,42.0,0.6,24.0,0.6,48.0,0.8,1.0,1,0.3235294117647059,0.07352941176470588,0.25,0.04411764705882353,0.05882352941176471,0.04411764705882353
115,51,6.6,2.0,51.0,0.0,50.0,0.5,71.4,0.8,1.1,1,0.3787878787878788,0.045454545454545456,0.2878787878787879,0.045454545454545456,0.030303030303030307,0.07575757575757576
116,52,6.2,1.4,37.3,0.0,0.0,0.4,54.5,0.8,0.7,0,0.20967741935483872,0.016129032258064516,0.24193548387096772,0.016129032258064516,0.016129032258064516,0.016129032258064516
117,39,5.8,1.0,51.3,0.0,0.0,0.5,90.5,0.5,0.6,1,0.25862068965517243,0.034482758620689655,0.20689655172413793,0.017241379310344827,0.017241379310344827,0.017241379310344827
118,82,36.6,15.9,53.1,0.0,0.0,10.2,73.2,3.7,8.3,1,0.6639344262295082,0.0546448087431694,0.32786885245901637,0.10655737704918032,0.046448087431693985,0.08469945355191257
119,31,10.7,3.3,35.3,2.1,25.8,0.9,55.2,0.3,1.1,0,0.31775700934579443,0.03738317757009346,0.1308411214953271,0.009345794392523366,0.028037383177570093,0.01869158878504673
120,79,33.7,12.5,47.1,1.1,27.4,3.5,76.4,0.7,3.2,0,0.43620178041543023,0.258160237388724,0.11572700296735904,0.002967359050445104,0.06231454005934718,0.09792284866468841
121,79,33.7,12.5,47.1,1.1,27.4,3.5,76.4,0.7,3.2,1,0.43620178041543023,0.258160237388724,0.11572700296735904,0.002967359050445104,0.06231454005934718,0.09792284866468841
122,82,33.6,9.9,44.0,0.1,0.0,3.5,66.4,2.4,6.0,1,0.33035714285714285,0.03571428571428571,0.25,0.020833333333333332,0.03273809523809524,0.0625
123,82,31.5,11.3,46.1,1.0,27.7,1.3,58.9,0.7,2.0,1,0.3619047619047619,0.21587301587301586,0.08253968253968254,0.009523809523809523,0.050793650793650794,0.053968253968253964
124,81,30.5,11.6,49.4,0.4,16.1,4.0,68.7,0.9,1.7,1,0.46885245901639344,0.24918032786885244,0.08196721311475409,0.003278688524590164,0.05901639344262295,0.09836065573770492
125,80,30.2,10.4,44.6,0.1,0.0,4.4,76.8,2.3,3.5,1,0.4205298013245033,0.036423841059602655,0.19205298013245034,0.023178807947019868,0.026490066225165566,0.039735099337748346
126,77,30.0,13.9,43.9,0.9,24.6,1.6,73.4,1.3,3.3,1,0.4533333333333333,0.060000000000000005,0.15333333333333332,0.01,0.030000000000000002,0.05
127,77,30.0,13.9,43.9,0.9,24.6,1.6,73.4,1.3,3.3,0,0.4533333333333333,0.060000000000000005,0.15333333333333332,0.01,0.030000000000000002,0.05
128,50,25.3,11.4,37.1,1.6,22.5,1.6,77.8,0.8,2.0,1,0.3992094861660079,0.16600790513833993,0.11067193675889327,0.011857707509881422,0.06324110671936758,0.08695652173913045
129,81,25.1,8.0,48.1,0.1,11.1,2.7,86.6,1.6,2.1,1,0.398406374501992,0.07569721115537847,0.14741035856573706,0.00796812749003984,0.023904382470119518,0.05577689243027888
130,82,23.0,6.9,50.7,0.4,30.0,2.5,71.9,0.8,2.2,1,0.3869565217391305,0.0782608695652174,0.13478260869565217,0.017391304347826087,0.0391304347826087,0.08260869565217391
131,50,10.6,3.3,44.9,0.3,13.3,1.1,57.4,0.9,2.0,0,0.34905660377358494,0.02830188679245283,0.27358490566037735,0.03773584905660378,0.01886792452830189,0.03773584905660378
132,81,22.0,9.3,49.4,0.2,5.9,3.3,70.5,1.3,2.6,1,0.5227272727272727,0.06818181818181818,0.17727272727272728,0.018181818181818184,0.03636363636363637,0.07727272727272727
133,82,21.7,6.5,50.4,0.0,0.0,3.3,72.7,2.1,2.6,1,0.4101382488479263,0.05069124423963134,0.21658986175115208,0.03225806451612903,0.02304147465437788,0.06451612903225806
134,81,20.1,9.1,40.5,2.9,39.9,1.4,80.9,0.4,1.2,1,0.48258706467661683,0.12437810945273631,0.07960199004975124,0.0,0.03482587064676616,0.07462686567164178
135,69,19.6,6.0,41.1,0.2,13.3,1.9,70.5,1.1,1.2,0,0.3214285714285714,0.03061224489795918,0.11734693877551018,0.01020408163265306,0.03061224489795918,0.03571428571428571
136,82,19.1,9.2,39.7,0.5,27.3,3.1,55.0,1.3,2.4,1,0.4764397905759162,0.04712041884816753,0.19895287958115182,0.03664921465968586,0.03664921465968586,0.08376963350785341
137,55,18.0,5.2,47.9,0.0,0.0,1.7,66.7,1.5,1.9,0,0.33888888888888885,0.05555555555555555,0.18888888888888888,0.011111111111111112,0.022222222222222223,0.061111111111111116
138,75,17.9,6.0,47.0,0.1,0.0,2.2,76.2,1.1,2.0,1,0.40782122905027934,0.03910614525139665,0.17318435754189945,0.01675977653631285,0.022346368715083803,0.05027932960893855
139,72,17.0,6.5,49.7,0.0,0.0,3.2,72.2,2.6,2.4,0,0.5117647058823529,0.03529411764705882,0.29411764705882354,0.011764705882352941,0.01764705882352941,0.041176470588235294
140,79,16.8,6.5,48.6,0.2,0.0,2.2,74.7,0.6,1.3,1,0.47619047619047616,0.08928571428571429,0.11309523809523808,0.011904761904761904,0.041666666666666664,0.07142857142857142
141,25,10.4,3.0,39.5,0.5,38.5,1.0,69.2,1.1,2.3,0,0.3173076923076923,0.019230769230769232,0.3269230769230769,0.038461538461538464,0.019230769230769232,0.038461538461538464
142,81,15.9,4.8,48.5,0.1,50.0,1.0,88.5,0.2,1.0,1,0.3522012578616352,0.15723270440251572,0.08176100628930817,0.006289308176100629,0.03773584905660377,0.06289308176100629
143,63,14.0,4.2,46.6,0.0,0.0,1.4,62.1,1.5,2.2,1,0.33571428571428574,0.028571428571428574,0.2571428571428572,0.028571428571428574,0.028571428571428574,0.07857142857142858
144,81,13.8,5.2,47.9,0.1,16.7,2.0,73.6,1.8,2.5,1,0.47101449275362317,0.021739130434782608,0.3115942028985507,0.06521739130434782,0.043478260869565216,0.09420289855072464
145,61,13.2,4.8,43.7,0.0,0.0,1.6,64.3,1.0,1.8,1,0.40151515151515155,0.060606060606060615,0.21212121212121213,0.015151515151515154,0.015151515151515154,0.060606060606060615
